QuizTitle,QuizDescription,QuestionText,Category,Difficulty,Points,OptionText,IsCorrect
Queen Quiz: Encore (Part 1),,Which band did Freddie Mercury sing in while studying at Ealing College of Art?,Band Members,medium,2,The Cross,false
Queen Quiz: Encore (Part 1),,Which band did Freddie Mercury sing in while studying at Ealing College of Art?,,,,1984,false
Queen Quiz: Encore (Part 1),,Which band did Freddie Mercury sing in while studying at Ealing College of Art?,,,,Wreckage,true
Queen Quiz: Encore (Part 1),,Which band did Freddie Mercury sing in while studying at Ealing College of Art?,,,,The Opposition,false
Queen Quiz: Encore (Part 1),,On which Queen studio album is 'The Fairy Feller's Master-Stroke' found in the original track list?,Albums,medium,2,A Day at the Races,false
Queen Quiz: Encore (Part 1),,On which Queen studio album is 'The Fairy Feller's Master-Stroke' found in the original track list?,,,,The Works,false
Queen Quiz: Encore (Part 1),,On which Queen studio album is 'The Fairy Feller's Master-Stroke' found in the original track list?,,,,Sheer Heart Attack,false
Queen Quiz: Encore (Part 1),,On which Queen studio album is 'The Fairy Feller's Master-Stroke' found in the original track list?,,,,Queen II,true
Queen Quiz: Encore (Part 1),,Who sang 'Too Much Love Will Kill You' alone during Queen's main tribute set in 1992?,After Freddie,medium,2,Brian May,true
Queen Quiz: Encore (Part 1),,Who sang 'Too Much Love Will Kill You' alone during Queen's main tribute set in 1992?,,,,Roger Taylor,false
Queen Quiz: Encore (Part 1),,Who sang 'Too Much Love Will Kill You' alone during Queen's main tribute set in 1992?,,,,Elton John,false
Queen Quiz: Encore (Part 1),,Who sang 'Too Much Love Will Kill You' alone during Queen's main tribute set in 1992?,,,,George Michael,false
Queen Quiz: Encore (Part 1),,Which late Freddie vocal was inspired by the scenery around Montreux?,After Freddie,medium,2,Delilah,false
Queen Quiz: Encore (Part 1),,Which late Freddie vocal was inspired by the scenery around Montreux?,,,,A Winter's Tale,true
Queen Quiz: Encore (Part 1),,Which late Freddie vocal was inspired by the scenery around Montreux?,,,,Bijou,false
Queen Quiz: Encore (Part 1),,Which late Freddie vocal was inspired by the scenery around Montreux?,,,,The Hitman,false
Queen Quiz: Encore (Part 1),,On which Queen studio album is 'Rock It (Prime Jive)' found in the original track list?,Albums,medium,2,Jazz,false
Queen Quiz: Encore (Part 1),,On which Queen studio album is 'Rock It (Prime Jive)' found in the original track list?,,,,Queen,false
Queen Quiz: Encore (Part 1),,On which Queen studio album is 'Rock It (Prime Jive)' found in the original track list?,,,,The Game,true
Queen Quiz: Encore (Part 1),,On which Queen studio album is 'Rock It (Prime Jive)' found in the original track list?,,,,A Kind of Magic,false
Queen Quiz: Encore (Part 1),,Which 2011 awards show featured an early Queen performance with Adam Lambert?,After Freddie,medium,2,Brit Awards,false
Queen Quiz: Encore (Part 1),,Which 2011 awards show featured an early Queen performance with Adam Lambert?,,,,Grammy Awards,false
Queen Quiz: Encore (Part 1),,Which 2011 awards show featured an early Queen performance with Adam Lambert?,,,,Ivor Novello Awards,false
Queen Quiz: Encore (Part 1),,Which 2011 awards show featured an early Queen performance with Adam Lambert?,,,,MTV Europe Music Awards,true
Queen Quiz: Encore (Part 1),,Who wrote the Queen album track 'My Melancholy Blues'?,Songwriting,hard,3,Freddie Mercury,true
Queen Quiz: Encore (Part 1),,Who wrote the Queen album track 'My Melancholy Blues'?,,,,Brian May,false
Queen Quiz: Encore (Part 1),,Who wrote the Queen album track 'My Melancholy Blues'?,,,,Roger Taylor,false
Queen Quiz: Encore (Part 1),,Who wrote the Queen album track 'My Melancholy Blues'?,,,,John Deacon,false
Queen Quiz: Encore (Part 1),,Who wrote the Queen album track 'It's Late'?,Songwriting,hard,3,Freddie Mercury,false
Queen Quiz: Encore (Part 1),,Who wrote the Queen album track 'It's Late'?,,,,Brian May,true
Queen Quiz: Encore (Part 1),,Who wrote the Queen album track 'It's Late'?,,,,Roger Taylor,false
Queen Quiz: Encore (Part 1),,Who wrote the Queen album track 'It's Late'?,,,,John Deacon,false
Queen Quiz: Encore (Part 1),,"On the original A Day at the Races track list, what comes immediately before 'White Man'?",Album Tracks,hard,3,The Millionaire Waltz,false
Queen Quiz: Encore (Part 1),,"On the original A Day at the Races track list, what comes immediately before 'White Man'?",,,,You and I,false
Queen Quiz: Encore (Part 1),,"On the original A Day at the Races track list, what comes immediately before 'White Man'?",,,,Somebody to Love,true
Queen Quiz: Encore (Part 1),,"On the original A Day at the Races track list, what comes immediately before 'White Man'?",,,,Drowse,false
Queen Quiz: Encore (Part 1),,What time of day does the front cover of 'Made in Heaven' depict?,After Freddie,hard,3,Sunset,false
Queen Quiz: Encore (Part 1),,What time of day does the front cover of 'Made in Heaven' depict?,,,,Noon,false
Queen Quiz: Encore (Part 1),,What time of day does the front cover of 'Made in Heaven' depict?,,,,Midnight,false
Queen Quiz: Encore (Part 1),,What time of day does the front cover of 'Made in Heaven' depict?,,,,Sunrise,true
Queen Quiz: Encore (Part 1),,Which track closes the original Happiness? (Roger Taylor) album?,Solo Projects,hard,3,Old Friends,true
Queen Quiz: Encore (Part 1),,Which track closes the original Happiness? (Roger Taylor) album?,,,,Space,false
Queen Quiz: Encore (Part 1),,Which track closes the original Happiness? (Roger Taylor) album?,,,,No Violins,false
Queen Quiz: Encore (Part 1),,Which track closes the original Happiness? (Roger Taylor) album?,,,,Strange Frontier,false
Queen Quiz: Encore (Part 1),,Who wrote the Queen album track 'Teo Torriatte (Let Us Cling Together)'?,Songwriting,hard,3,Freddie Mercury,false
Queen Quiz: Encore (Part 1),,Who wrote the Queen album track 'Teo Torriatte (Let Us Cling Together)'?,,,,Brian May,true
Queen Quiz: Encore (Part 1),,Who wrote the Queen album track 'Teo Torriatte (Let Us Cling Together)'?,,,,Roger Taylor,false
Queen Quiz: Encore (Part 1),,Who wrote the Queen album track 'Teo Torriatte (Let Us Cling Together)'?,,,,John Deacon,false
Queen Quiz: Encore (Part 1),,Which John Lennon song appears on Roger Taylor's 'Electric Fire'?,Solo Projects,hard,3,Imagine,false
Queen Quiz: Encore (Part 1),,Which John Lennon song appears on Roger Taylor's 'Electric Fire'?,,,,Woman,false
Queen Quiz: Encore (Part 1),,Which John Lennon song appears on Roger Taylor's 'Electric Fire'?,,,,Working Class Hero,true
Queen Quiz: Encore (Part 1),,Which John Lennon song appears on Roger Taylor's 'Electric Fire'?,,,,Instant Karma!,false
Queen Quiz: Encore (Part 1),,Which previously unreleased Miracle-era song was listed alongside 'Face It Alone' in the 2022 box set?,After Freddie,hard,3,Silver Salmon,false
Queen Quiz: Encore (Part 1),,Which previously unreleased Miracle-era song was listed alongside 'Face It Alone' in the 2022 box set?,,,,Hangman,false
Queen Quiz: Encore (Part 1),,Which previously unreleased Miracle-era song was listed alongside 'Face It Alone' in the 2022 box set?,,,,See What a Fool I've Been,false
Queen Quiz: Encore (Part 1),,Which previously unreleased Miracle-era song was listed alongside 'Face It Alone' in the 2022 box set?,,,,Dog With a Bone,true
Queen Quiz: Encore (Part 1),,"On the original Jazz track list, what comes immediately after 'In Only Seven Days'?",Album Tracks,hard,3,Dreamers Ball,true
Queen Quiz: Encore (Part 1),,"On the original Jazz track list, what comes immediately after 'In Only Seven Days'?",,,,Jealousy,false
Queen Quiz: Encore (Part 1),,"On the original Jazz track list, what comes immediately after 'In Only Seven Days'?",,,,Fat Bottomed Girls,false
Queen Quiz: Encore (Part 1),,"On the original Jazz track list, what comes immediately after 'In Only Seven Days'?",,,,Fun It,false
Queen Quiz: Encore (Part 1),,"On the original Happiness? (Roger Taylor) track list, what comes immediately after 'Foreign Sand'?",Solo Projects,hard,4,Touch the Sky,false
Queen Quiz: Encore (Part 1),,"On the original Happiness? (Roger Taylor) track list, what comes immediately after 'Foreign Sand'?",,,,Freedom Train,true
Queen Quiz: Encore (Part 1),,"On the original Happiness? (Roger Taylor) track list, what comes immediately after 'Foreign Sand'?",,,,Nazis 1994,false
Queen Quiz: Encore (Part 1),,"On the original Happiness? (Roger Taylor) track list, what comes immediately after 'Foreign Sand'?",,,,Dear Mr Murdoch,false
Queen Quiz: Encore (Part 1),,"On the original Electric Fire (Roger Taylor) track list, what comes immediately after 'Working Class Hero'?",Solo Projects,hard,4,Believe in Yourself,false
Queen Quiz: Encore (Part 1),,"On the original Electric Fire (Roger Taylor) track list, what comes immediately after 'Working Class Hero'?",,,,Is It Me?,false
Queen Quiz: Encore (Part 1),,"On the original Electric Fire (Roger Taylor) track list, what comes immediately after 'Working Class Hero'?",,,,"London Town, C'mon Down",true
Queen Quiz: Encore (Part 1),,"On the original Electric Fire (Roger Taylor) track list, what comes immediately after 'Working Class Hero'?",,,,Tonight,false
Queen Quiz: Encore (Part 1),,"On the original Another World (Brian May) track list, what comes immediately after 'Business'?",Solo Projects,hard,4,One Rainy Wish,false
Queen Quiz: Encore (Part 1),,"On the original Another World (Brian May) track list, what comes immediately after 'Business'?",,,,The Guv'nor,false
Queen Quiz: Encore (Part 1),,"On the original Another World (Brian May) track list, what comes immediately after 'Business'?",,,,Wilderness,false
Queen Quiz: Encore (Part 1),,"On the original Another World (Brian May) track list, what comes immediately after 'Business'?",,,,China Belle,true
Queen Quiz: Encore (Part 1),,"On the original Back to the Light (Brian May) track list, what comes immediately after 'Love Token'?",Solo Projects,hard,4,Resurrection,true
Queen Quiz: Encore (Part 1),,"On the original Back to the Light (Brian May) track list, what comes immediately after 'Love Token'?",,,,Nothin' But Blue,false
Queen Quiz: Encore (Part 1),,"On the original Back to the Light (Brian May) track list, what comes immediately after 'Love Token'?",,,,Rollin' Over,false
Queen Quiz: Encore (Part 1),,"On the original Back to the Light (Brian May) track list, what comes immediately after 'Love Token'?",,,,Too Much Love Will Kill You,false
Queen Quiz: Encore (Part 2),"25 new Queen questions spanning the albums, solo projects, band members, and the years after Freddie.",Which Queen studio album has both 'Radio Ga Ga' and 'Tear It Up' on its original track list?,Albums,easy,1,The Works,true
Queen Quiz: Encore (Part 2),,Which Queen studio album has both 'Radio Ga Ga' and 'Tear It Up' on its original track list?,,,,The Game,false
Queen Quiz: Encore (Part 2),,Which Queen studio album has both 'Radio Ga Ga' and 'Tear It Up' on its original track list?,,,,Queen,false
Queen Quiz: Encore (Part 2),,Which Queen studio album has both 'Radio Ga Ga' and 'Tear It Up' on its original track list?,,,,The Miracle,false
Queen Quiz: Encore (Part 2),,Which Queen studio album has both 'Doing All Right' and 'Great King Rat' on its original track list?,Albums,easy,1,The Works,false
Queen Quiz: Encore (Part 2),,Which Queen studio album has both 'Doing All Right' and 'Great King Rat' on its original track list?,,,,Queen,true
Queen Quiz: Encore (Part 2),,Which Queen studio album has both 'Doing All Right' and 'Great King Rat' on its original track list?,,,,A Day at the Races,false
Queen Quiz: Encore (Part 2),,Which Queen studio album has both 'Doing All Right' and 'Great King Rat' on its original track list?,,,,Jazz,false
Queen Quiz: Encore (Part 2),,On which Queen studio album is 'Innuendo' found in the original track list?,Albums,easy,1,A Night at the Opera,false
Queen Quiz: Encore (Part 2),,On which Queen studio album is 'Innuendo' found in the original track list?,,,,The Game,false
Queen Quiz: Encore (Part 2),,On which Queen studio album is 'Innuendo' found in the original track list?,,,,Innuendo,true
Queen Quiz: Encore (Part 2),,On which Queen studio album is 'Innuendo' found in the original track list?,,,,News of the World,false
Queen Quiz: Encore (Part 2),,On which Queen studio album is 'All God's People' found in the original track list?,Albums,medium,2,Jazz,false
Queen Quiz: Encore (Part 2),,On which Queen studio album is 'All God's People' found in the original track list?,,,,The Miracle,false
Queen Quiz: Encore (Part 2),,On which Queen studio album is 'All God's People' found in the original track list?,,,,Hot Space,false
Queen Quiz: Encore (Part 2),,On which Queen studio album is 'All God's People' found in the original track list?,,,,Innuendo,true
Queen Quiz: Encore (Part 2),,"Which Queen studio album has both 'Get Down, Make Love' and 'Sleeping on the Sidewalk' on its original track list?",Albums,medium,2,News of the World,true
Queen Quiz: Encore (Part 2),,"Which Queen studio album has both 'Get Down, Make Love' and 'Sleeping on the Sidewalk' on its original track list?",,,,Hot Space,false
Queen Quiz: Encore (Part 2),,"Which Queen studio album has both 'Get Down, Make Love' and 'Sleeping on the Sidewalk' on its original track list?",,,,Innuendo,false
Queen Quiz: Encore (Part 2),,"Which Queen studio album has both 'Get Down, Make Love' and 'Sleeping on the Sidewalk' on its original track list?",,,,Queen,false
Queen Quiz: Encore (Part 2),,"On the original The Miracle track list, what comes immediately after 'I Want It All'?",Album Tracks,medium,2,Khashoggi's Ship,false
Queen Quiz: Encore (Part 2),,"On the original The Miracle track list, what comes immediately after 'I Want It All'?",,,,The Invisible Man,true
Queen Quiz: Encore (Part 2),,"On the original The Miracle track list, what comes immediately after 'I Want It All'?",,,,Rain Must Fall,false
Queen Quiz: Encore (Part 2),,"On the original The Miracle track list, what comes immediately after 'I Want It All'?",,,,Scandal,false
Queen Quiz: Encore (Part 2),,Which Queen studio album has both 'Modern Times Rock 'n' Roll' and 'Son and Daughter' on its original track list?,Albums,medium,2,Queen II,false
Queen Quiz: Encore (Part 2),,Which Queen studio album has both 'Modern Times Rock 'n' Roll' and 'Son and Daughter' on its original track list?,,,,The Game,false
Queen Quiz: Encore (Part 2),,Which Queen studio album has both 'Modern Times Rock 'n' Roll' and 'Son and Daughter' on its original track list?,,,,Queen,true
Queen Quiz: Encore (Part 2),,Which Queen studio album has both 'Modern Times Rock 'n' Roll' and 'Son and Daughter' on its original track list?,,,,A Night at the Opera,false
Queen Quiz: Encore (Part 2),,On which Queen studio album is 'Don't Lose Your Head' found in the original track list?,Albums,medium,2,Hot Space,false
Queen Quiz: Encore (Part 2),,On which Queen studio album is 'Don't Lose Your Head' found in the original track list?,,,,The Miracle,false
Queen Quiz: Encore (Part 2),,On which Queen studio album is 'Don't Lose Your Head' found in the original track list?,,,,Innuendo,false
Queen Quiz: Encore (Part 2),,On which Queen studio album is 'Don't Lose Your Head' found in the original track list?,,,,A Kind of Magic,true
Queen Quiz: Encore (Part 2),,Which organisation's COVID-19 response fund benefited from 'You Are the Champions'?,After Freddie,medium,2,World Health Organization,true
Queen Quiz: Encore (Part 2),,Which organisation's COVID-19 response fund benefited from 'You Are the Champions'?,,,,UNICEF,false
Queen Quiz: Encore (Part 2),,Which organisation's COVID-19 response fund benefited from 'You Are the Champions'?,,,,Mercury Phoenix Trust,false
Queen Quiz: Encore (Part 2),,Which organisation's COVID-19 response fund benefited from 'You Are the Champions'?,,,,Save the Children,false
Queen Quiz: Encore (Part 2),,Who wrote the Queen album track 'Don't Stop Me Now'?,Songwriting,medium,2,Brian May,false
Queen Quiz: Encore (Part 2),,Who wrote the Queen album track 'Don't Stop Me Now'?,,,,Freddie Mercury,true
Queen Quiz: Encore (Part 2),,Who wrote the Queen album track 'Don't Stop Me Now'?,,,,Roger Taylor,false
Queen Quiz: Encore (Part 2),,Who wrote the Queen album track 'Don't Stop Me Now'?,,,,John Deacon,false
Queen Quiz: Encore (Part 2),,"On the original The Miracle track list, what comes immediately after 'The Invisible Man'?",Album Tracks,medium,2,I Want It All,false
Queen Quiz: Encore (Part 2),,"On the original The Miracle track list, what comes immediately after 'The Invisible Man'?",,,,Party,false
Queen Quiz: Encore (Part 2),,"On the original The Miracle track list, what comes immediately after 'The Invisible Man'?",,,,Breakthru,true
Queen Quiz: Encore (Part 2),,"On the original The Miracle track list, what comes immediately after 'The Invisible Man'?",,,,Rain Must Fall,false
Queen Quiz: Encore (Part 2),,Who sang 'Radio Ga Ga' with Queen at the 1992 tribute concert?,After Freddie,medium,2,George Michael,false
Queen Quiz: Encore (Part 2),,Who sang 'Radio Ga Ga' with Queen at the 1992 tribute concert?,,,,Elton John,false
Queen Quiz: Encore (Part 2),,Who sang 'Radio Ga Ga' with Queen at the 1992 tribute concert?,,,,Seal,false
Queen Quiz: Encore (Part 2),,Who sang 'Radio Ga Ga' with Queen at the 1992 tribute concert?,,,,Paul Young,true
Queen Quiz: Encore (Part 2),,Which track opens the original Barcelona (Freddie Mercury and Montserrat Caballé) album?,Solo Projects,hard,3,Barcelona,true
Queen Quiz: Encore (Part 2),,Which track opens the original Barcelona (Freddie Mercury and Montserrat Caballé) album?,,,,Let's Turn It On,false
Queen Quiz: Encore (Part 2),,Which track opens the original Barcelona (Freddie Mercury and Montserrat Caballé) album?,,,,Another World,false
Queen Quiz: Encore (Part 2),,Which track opens the original Barcelona (Freddie Mercury and Montserrat Caballé) album?,,,,"London Town, C'mon Down",false
Queen Quiz: Encore (Part 2),,"On the original Queen II track list, what comes immediately after 'Ogre Battle'?",Album Tracks,hard,3,Nevermore,false
Queen Quiz: Encore (Part 2),,"On the original Queen II track list, what comes immediately after 'Ogre Battle'?",,,,The Fairy Feller's Master-Stroke,true
Queen Quiz: Encore (Part 2),,"On the original Queen II track list, what comes immediately after 'Ogre Battle'?",,,,Funny How Love Is,false
Queen Quiz: Encore (Part 2),,"On the original Queen II track list, what comes immediately after 'Ogre Battle'?",,,,Some Day One Day,false
Queen Quiz: Encore (Part 2),,"On the original A Night at the Opera track list, what comes immediately before 'Sweet Lady'?",Album Tracks,hard,3,Good Company,false
Queen Quiz: Encore (Part 2),,"On the original A Night at the Opera track list, what comes immediately before 'Sweet Lady'?",,,,Death on Two Legs,false
Queen Quiz: Encore (Part 2),,"On the original A Night at the Opera track list, what comes immediately before 'Sweet Lady'?",,,,'39,true
Queen Quiz: Encore (Part 2),,"On the original A Night at the Opera track list, what comes immediately before 'Sweet Lady'?",,,,God Save the Queen,false
Queen Quiz: Encore (Part 2),,Which Queen studio album has both 'Bijou' and 'The Show Must Go On' on its original track list?,Albums,hard,3,Jazz,false
Queen Quiz: Encore (Part 2),,Which Queen studio album has both 'Bijou' and 'The Show Must Go On' on its original track list?,,,,Queen II,false
Queen Quiz: Encore (Part 2),,Which Queen studio album has both 'Bijou' and 'The Show Must Go On' on its original track list?,,,,Hot Space,false
Queen Quiz: Encore (Part 2),,Which Queen studio album has both 'Bijou' and 'The Show Must Go On' on its original track list?,,,,Innuendo,true
Queen Quiz: Encore (Part 2),,Who sang Queen's '39' at the 1992 tribute concert?,After Freddie,hard,3,George Michael,true
Queen Quiz: Encore (Part 2),,Who sang Queen's '39' at the 1992 tribute concert?,,,,Elton John,false
Queen Quiz: Encore (Part 2),,Who sang Queen's '39' at the 1992 tribute concert?,,,,Joe Elliott,false
Queen Quiz: Encore (Part 2),,Who sang Queen's '39' at the 1992 tribute concert?,,,,Robert Plant,false
Queen Quiz: Encore (Part 2),,"On the original A Night at the Opera track list, what comes immediately before 'You're My Best Friend'?",Album Tracks,hard,3,Death on Two Legs,false
Queen Quiz: Encore (Part 2),,"On the original A Night at the Opera track list, what comes immediately before 'You're My Best Friend'?",,,,I'm in Love with My Car,true
Queen Quiz: Encore (Part 2),,"On the original A Night at the Opera track list, what comes immediately before 'You're My Best Friend'?",,,,Sweet Lady,false
Queen Quiz: Encore (Part 2),,"On the original A Night at the Opera track list, what comes immediately before 'You're My Best Friend'?",,,,Bohemian Rhapsody,false
Queen Quiz: Encore (Part 2),,"On the original The Works track list, what comes immediately after 'Hammer to Fall'?",Album Tracks,hard,3,Tear It Up,false
Queen Quiz: Encore (Part 2),,"On the original The Works track list, what comes immediately after 'Hammer to Fall'?",,,,Radio Ga Ga,false
Queen Quiz: Encore (Part 2),,"On the original The Works track list, what comes immediately after 'Hammer to Fall'?",,,,Is This the World We Created...?,true
Queen Quiz: Encore (Part 2),,"On the original The Works track list, what comes immediately after 'Hammer to Fall'?",,,,Man on the Prowl,false
Queen Quiz: Encore (Part 2),,"On the original Jazz track list, what comes immediately before 'Fat Bottomed Girls'?",Album Tracks,hard,3,If You Can't Beat Them,false
Queen Quiz: Encore (Part 2),,"On the original Jazz track list, what comes immediately before 'Fat Bottomed Girls'?",,,,Don't Stop Me Now,false
Queen Quiz: Encore (Part 2),,"On the original Jazz track list, what comes immediately before 'Fat Bottomed Girls'?",,,,In Only Seven Days,false
Queen Quiz: Encore (Part 2),,"On the original Jazz track list, what comes immediately before 'Fat Bottomed Girls'?",,,,Mustapha,true
Queen Quiz: Encore (Part 2),,"On the original Jazz track list, what comes immediately before 'Let Me Entertain You'?",Album Tracks,hard,3,If You Can't Beat Them,true
Queen Quiz: Encore (Part 2),,"On the original Jazz track list, what comes immediately before 'Let Me Entertain You'?",,,,Fun It,false
Queen Quiz: Encore (Part 2),,"On the original Jazz track list, what comes immediately before 'Let Me Entertain You'?",,,,Mustapha,false
Queen Quiz: Encore (Part 2),,"On the original Jazz track list, what comes immediately before 'Let Me Entertain You'?",,,,Leaving Home Ain't Easy,false
Queen Quiz: Encore (Part 2),,Which The Game track sits between 'Crazy Little Thing Called Love' and 'Don't Try Suicide'?,Album Tracks,hard,4,Play the Game,false
Queen Quiz: Encore (Part 2),,Which The Game track sits between 'Crazy Little Thing Called Love' and 'Don't Try Suicide'?,,,,Rock It (Prime Jive),true
Queen Quiz: Encore (Part 2),,Which The Game track sits between 'Crazy Little Thing Called Love' and 'Don't Try Suicide'?,,,,Save Me,false
Queen Quiz: Encore (Part 2),,Which The Game track sits between 'Crazy Little Thing Called Love' and 'Don't Try Suicide'?,,,,Another One Bites the Dust,false
Queen Quiz: Encore (Part 2),,"On the original Another World (Brian May) track list, what comes immediately after 'China Belle'?",Solo Projects,hard,4,The Guv'nor,false
Queen Quiz: Encore (Part 2),,"On the original Another World (Brian May) track list, what comes immediately after 'China Belle'?",,,,Another World,false
Queen Quiz: Encore (Part 2),,"On the original Another World (Brian May) track list, what comes immediately after 'China Belle'?",,,,Why Don't We Try Again,true
Queen Quiz: Encore (Part 2),,"On the original Another World (Brian May) track list, what comes immediately after 'China Belle'?",,,,On My Way Up,false
Queen Quiz: Encore (Part 2),,Which Queen track sits between 'Liar' and 'Modern Times Rock 'n' Roll'?,Album Tracks,hard,4,Keep Yourself Alive,false
Queen Quiz: Encore (Part 2),,Which Queen track sits between 'Liar' and 'Modern Times Rock 'n' Roll'?,,,,Seven Seas of Rhye (instrumental),false
Queen Quiz: Encore (Part 2),,Which Queen track sits between 'Liar' and 'Modern Times Rock 'n' Roll'?,,,,Great King Rat,false
Queen Quiz: Encore (Part 2),,Which Queen track sits between 'Liar' and 'Modern Times Rock 'n' Roll'?,,,,The Night Comes Down,true
Queen Quiz: Encore (Part 2),,"On the original Back to the Light (Brian May) track list, what comes immediately after 'Back to the Light'?",Solo Projects,hard,4,Love Token,true
Queen Quiz: Encore (Part 2),,"On the original Back to the Light (Brian May) track list, what comes immediately after 'Back to the Light'?",,,,Let Your Heart Rule Your Head,false
Queen Quiz: Encore (Part 2),,"On the original Back to the Light (Brian May) track list, what comes immediately after 'Back to the Light'?",,,,Nothin' But Blue,false
Queen Quiz: Encore (Part 2),,"On the original Back to the Light (Brian May) track list, what comes immediately after 'Back to the Light'?",,,,I'm Scared,false
Queen Quiz: Encore (Part 3),"25 new Queen questions spanning the albums, solo projects, band members, and the years after Freddie.",On which Queen studio album is 'Procession' found in the original track list?,Albums,easy,1,Queen II,true
Queen Quiz: Encore (Part 3),,On which Queen studio album is 'Procession' found in the original track list?,,,,Jazz,false
Queen Quiz: Encore (Part 3),,On which Queen studio album is 'Procession' found in the original track list?,,,,The Miracle,false
Queen Quiz: Encore (Part 3),,On which Queen studio album is 'Procession' found in the original track list?,,,,A Day at the Races,false
Queen Quiz: Encore (Part 3),,On which Queen studio album is 'Lazing on a Sunday Afternoon' found in the original track list?,Albums,easy,1,Queen II,false
Queen Quiz: Encore (Part 3),,On which Queen studio album is 'Lazing on a Sunday Afternoon' found in the original track list?,,,,A Night at the Opera,true
Queen Quiz: Encore (Part 3),,On which Queen studio album is 'Lazing on a Sunday Afternoon' found in the original track list?,,,,Innuendo,false
Queen Quiz: Encore (Part 3),,On which Queen studio album is 'Lazing on a Sunday Afternoon' found in the original track list?,,,,A Kind of Magic,false
Queen Quiz: Encore (Part 3),,Which track closes the original Queen II album?,Albums,easy,1,The Show Must Go On,false
Queen Quiz: Encore (Part 3),,Which track closes the original Queen II album?,,,,Princes of the Universe,false
Queen Quiz: Encore (Part 3),,Which track closes the original Queen II album?,,,,Seven Seas of Rhye,true
Queen Quiz: Encore (Part 3),,Which track closes the original Queen II album?,,,,God Save the Queen,false
Queen Quiz: Encore (Part 3),,Which Queen studio album has both 'Don't Try Suicide' and 'Sail Away Sweet Sister' on its original track list?,Albums,medium,2,A Kind of Magic,false
Queen Quiz: Encore (Part 3),,Which Queen studio album has both 'Don't Try Suicide' and 'Sail Away Sweet Sister' on its original track list?,,,,Jazz,false
