QuizTitle,QuizDescription,QuestionText,Category,Difficulty,Points,OptionText,IsCorrect
Queen Quiz: Easy (Part 1),,Which Queen member wrote 'We Will Rock You'?,Members,easy,1,Roger Taylor,false
Queen Quiz: Easy (Part 1),,Which Queen member wrote 'We Will Rock You'?,,,,Freddie Mercury,false
Queen Quiz: Easy (Part 1),,Which Queen member wrote 'We Will Rock You'?,,,,Brian May,true
Queen Quiz: Easy (Part 1),,Which Queen member wrote 'We Will Rock You'?,,,,John Deacon,false
Queen Quiz: Easy (Part 1),,How many musicians were in Queen's classic line-up?,Band history,easy,1,Four,true
Queen Quiz: Easy (Part 1),,How many musicians were in Queen's classic line-up?,,,,Three,false
Queen Quiz: Easy (Part 1),,How many musicians were in Queen's classic line-up?,,,,Five,false
Queen Quiz: Easy (Part 1),,How many musicians were in Queen's classic line-up?,,,,Six,false
Queen Quiz: Easy (Part 1),,Which Queen member wrote 'Another One Bites the Dust'?,Members,easy,1,Tim Staffell,false
Queen Quiz: Easy (Part 1),,Which Queen member wrote 'Another One Bites the Dust'?,,,,John Deacon,true
Queen Quiz: Easy (Part 1),,Which Queen member wrote 'Another One Bites the Dust'?,,,,Roger Taylor,false
Queen Quiz: Easy (Part 1),,Which Queen member wrote 'Another One Bites the Dust'?,,,,David Bowie,false
Queen Quiz: Easy (Part 1),,Which film featured Queen songs including 'A Kind of Magic' and 'Who Wants to Live Forever'?,Film,easy,1,Flash Gordon,false
Queen Quiz: Easy (Part 1),,Which film featured Queen songs including 'A Kind of Magic' and 'Who Wants to Live Forever'?,,,,Highlander,true
Queen Quiz: Easy (Part 1),,Which film featured Queen songs including 'A Kind of Magic' and 'Who Wants to Live Forever'?,,,,Metropolis,false
Queen Quiz: Easy (Part 1),,Which film featured Queen songs including 'A Kind of Magic' and 'Who Wants to Live Forever'?,,,,Labyrinth,false
Queen Quiz: Easy (Part 1),,Which Queen album contains 'Seven Seas of Rhye' in its finished vocal version?,Albums,easy,1,Sheer Heart Attack,false
Queen Quiz: Easy (Part 1),,Which Queen album contains 'Seven Seas of Rhye' in its finished vocal version?,,,,Queen,false
Queen Quiz: Easy (Part 1),,Which Queen album contains 'Seven Seas of Rhye' in its finished vocal version?,,,,A Night at the Opera,false
Queen Quiz: Easy (Part 1),,Which Queen album contains 'Seven Seas of Rhye' in its finished vocal version?,,,,Queen II,true
Queen Quiz: Easy (Part 1),,Which Queen collection first appeared in 1981?,Albums,easy,1,Greatest Hits II,false
Queen Quiz: Easy (Part 1),,Which Queen collection first appeared in 1981?,,,,Queen Rocks,false
Queen Quiz: Easy (Part 1),,Which Queen collection first appeared in 1981?,,,,Greatest Hits,true
Queen Quiz: Easy (Part 1),,Which Queen collection first appeared in 1981?,,,,The Platinum Collection,false
Queen Quiz: Easy (Part 1),,Which Queen member wrote 'Bohemian Rhapsody'?,Members,easy,1,Freddie Mercury,true
Queen Quiz: Easy (Part 1),,Which Queen member wrote 'Bohemian Rhapsody'?,,,,Brian May,false
Queen Quiz: Easy (Part 1),,Which Queen member wrote 'Bohemian Rhapsody'?,,,,Paul Rodgers,false
Queen Quiz: Easy (Part 1),,Which Queen member wrote 'Bohemian Rhapsody'?,,,,Roger Taylor,false
Queen Quiz: Easy (Part 1),,Which Queen member wrote 'You're My Best Friend'?,Members,easy,1,Tim Staffell,false
Queen Quiz: Easy (Part 1),,Which Queen member wrote 'You're My Best Friend'?,,,,John Deacon,true
Queen Quiz: Easy (Part 1),,Which Queen member wrote 'You're My Best Friend'?,,,,Roger Taylor,false
Queen Quiz: Easy (Part 1),,Which Queen member wrote 'You're My Best Friend'?,,,,David Bowie,false
Queen Quiz: Easy (Part 1),,Which Queen album contains 'Radio Ga Ga'?,Albums,easy,1,A Kind of Magic,false
Queen Quiz: Easy (Part 1),,Which Queen album contains 'Radio Ga Ga'?,,,,Hot Space,false
Queen Quiz: Easy (Part 1),,Which Queen album contains 'Radio Ga Ga'?,,,,The Miracle,false
Queen Quiz: Easy (Part 1),,Which Queen album contains 'Radio Ga Ga'?,,,,The Works,true
Queen Quiz: Easy (Part 1),,Which Queen song became famous for its operatic middle section?,Songs,easy,1,Killer Queen,false
Queen Quiz: Easy (Part 1),,Which Queen song became famous for its operatic middle section?,,,,No-One but You (Only the Good Die Young),false
Queen Quiz: Easy (Part 1),,Which Queen song became famous for its operatic middle section?,,,,We Will Rock You,false
Queen Quiz: Easy (Part 1),,Which Queen song became famous for its operatic middle section?,,,,Bohemian Rhapsody,true
Queen Quiz: Easy (Part 1),,Who collaborated with Queen on 'Under Pressure'?,Collaborations,easy,1,Spike Edney,false
Queen Quiz: Easy (Part 1),,Who collaborated with Queen on 'Under Pressure'?,,,,Tim Staffell,false
Queen Quiz: Easy (Part 1),,Who collaborated with Queen on 'Under Pressure'?,,,,David Bowie,true
Queen Quiz: Easy (Part 1),,Who collaborated with Queen on 'Under Pressure'?,,,,Roy Thomas Baker,false
Queen Quiz: Easy (Part 1),,Who joined last to complete Queen's classic line-up?,Band history,easy,1,Tim Staffell,false
Queen Quiz: Easy (Part 1),,Who joined last to complete Queen's classic line-up?,,,,John Deacon,true
Queen Quiz: Easy (Part 1),,Who joined last to complete Queen's classic line-up?,,,,Roger Taylor,false
Queen Quiz: Easy (Part 1),,Who joined last to complete Queen's classic line-up?,,,,David Bowie,false
Queen Quiz: Easy (Part 1),,Which Queen album contains 'Another One Bites the Dust'?,Albums,easy,1,Flash Gordon,false
Queen Quiz: Easy (Part 1),,Which Queen album contains 'Another One Bites the Dust'?,,,,Jazz,false
Queen Quiz: Easy (Part 1),,Which Queen album contains 'Another One Bites the Dust'?,,,,The Game,true
Queen Quiz: Easy (Part 1),,Which Queen album contains 'Another One Bites the Dust'?,,,,Hot Space,false
Queen Quiz: Easy (Part 1),,Which Queen album is named after a 1980 science-fiction film?,Albums,easy,1,Hot Space,false
Queen Quiz: Easy (Part 1),,Which Queen album is named after a 1980 science-fiction film?,,,,The Game,false
Queen Quiz: Easy (Part 1),,Which Queen album is named after a 1980 science-fiction film?,,,,Flash Gordon,true
Queen Quiz: Easy (Part 1),,Which Queen album is named after a 1980 science-fiction film?,,,,The Works,false
Queen Quiz: Easy (Part 1),,At which London stadium did Queen play two famous 1986 shows?,Concerts,easy,1,Wembley Stadium,true
Queen Quiz: Easy (Part 1),,At which London stadium did Queen play two famous 1986 shows?,,,,Twickenham Stadium,false
Queen Quiz: Easy (Part 1),,At which London stadium did Queen play two famous 1986 shows?,,,,Emirates Stadium,false
Queen Quiz: Easy (Part 1),,At which London stadium did Queen play two famous 1986 shows?,,,,Stamford Bridge,false
Queen Quiz: Easy (Part 1),,Which Queen song was written in a rockabilly style?,Songs,easy,1,Don't Stop Me Now,false
Queen Quiz: Easy (Part 1),,Which Queen song was written in a rockabilly style?,,,,I Want to Break Free,false
Queen Quiz: Easy (Part 1),,Which Queen song was written in a rockabilly style?,,,,Crazy Little Thing Called Love,true
Queen Quiz: Easy (Part 1),,Which Queen song was written in a rockabilly style?,,,,The Show Must Go On,false
Queen Quiz: Easy (Part 1),,Which Queen member was born in Zanzibar?,Members,easy,1,Brian May,false
Queen Quiz: Easy (Part 1),,Which Queen member was born in Zanzibar?,,,,Paul Rodgers,false
Queen Quiz: Easy (Part 1),,Which Queen member was born in Zanzibar?,,,,Freddie Mercury,true
Queen Quiz: Easy (Part 1),,Which Queen member was born in Zanzibar?,,,,Roger Taylor,false
Queen Quiz: Easy (Part 2),Easy Queen questions drawn from supplied books and official sources.,What was Queen's debut studio album called?,Albums,easy,1,Queen II,false
Queen Quiz: Easy (Part 2),,What was Queen's debut studio album called?,,,,Made in Heaven,false
Queen Quiz: Easy (Part 2),,What was Queen's debut studio album called?,,,,Sheer Heart Attack,false
Queen Quiz: Easy (Part 2),,What was Queen's debut studio album called?,,,,Queen,true
Queen Quiz: Easy (Part 2),,Who was Queen's lead singer?,Line-up,easy,1,Freddie Mercury,true
Queen Quiz: Easy (Part 2),,Who was Queen's lead singer?,,,,Brian May,false
Queen Quiz: Easy (Part 2),,Who was Queen's lead singer?,,,,Paul Rodgers,false
Queen Quiz: Easy (Part 2),,Who was Queen's lead singer?,,,,Roger Taylor,false
Queen Quiz: Easy (Part 2),,Which Queen album contains 'Somebody to Love'?,Albums,easy,1,A Day at the Races,true
Queen Quiz: Easy (Part 2),,Which Queen album contains 'Somebody to Love'?,,,,News of the World,false
Queen Quiz: Easy (Part 2),,Which Queen album contains 'Somebody to Love'?,,,,A Night at the Opera,false
Queen Quiz: Easy (Part 2),,Which Queen album contains 'Somebody to Love'?,,,,Jazz,false
Queen Quiz: Easy (Part 2),,Which Queen album contains 'Don't Stop Me Now'?,Albums,easy,1,The Game,false
Queen Quiz: Easy (Part 2),,Which Queen album contains 'Don't Stop Me Now'?,,,,Jazz,true
Queen Quiz: Easy (Part 2),,Which Queen album contains 'Don't Stop Me Now'?,,,,News of the World,false
Queen Quiz: Easy (Part 2),,Which Queen album contains 'Don't Stop Me Now'?,,,,Flash Gordon,false
Queen Quiz: Easy (Part 2),,Who played lead guitar in Queen's classic line-up?,Line-up,easy,1,Roger Taylor,false
Queen Quiz: Easy (Part 2),,Who played lead guitar in Queen's classic line-up?,,,,Brian May,true
Queen Quiz: Easy (Part 2),,Who played lead guitar in Queen's classic line-up?,,,,Freddie Mercury,false
Queen Quiz: Easy (Part 2),,Who played lead guitar in Queen's classic line-up?,,,,John Deacon,false
Queen Quiz: Easy (Part 2),,Which Queen song opens with a distinctive stomp-stomp-clap beat?,Songs,easy,1,We Will Rock You,true
Queen Quiz: Easy (Part 2),,Which Queen song opens with a distinctive stomp-stomp-clap beat?,,,,We Are the Champions,false
Queen Quiz: Easy (Part 2),,Which Queen song opens with a distinctive stomp-stomp-clap beat?,,,,Killer Queen,false
Queen Quiz: Easy (Part 2),,Which Queen song opens with a distinctive stomp-stomp-clap beat?,,,,Somebody to Love,false
Queen Quiz: Easy (Part 2),,Which Queen song has the title of a radio broadcast sound?,Songs,easy,1,Radio Ga Ga,true
Queen Quiz: Easy (Part 2),,Which Queen song has the title of a radio broadcast sound?,,,,Under Pressure,false
Queen Quiz: Easy (Part 2),,Which Queen song has the title of a radio broadcast sound?,,,,Another One Bites the Dust,false
Queen Quiz: Easy (Part 2),,Which Queen song has the title of a radio broadcast sound?,,,,I Want to Break Free,false
Queen Quiz: Easy (Part 2),,In which city did Queen play a major 1986 concert behind the Iron Curtain?,Concerts,easy,1,Prague,false
Queen Quiz: Easy (Part 2),,In which city did Queen play a major 1986 concert behind the Iron Curtain?,,,,Warsaw,false
Queen Quiz: Easy (Part 2),,In which city did Queen play a major 1986 concert behind the Iron Curtain?,,,,Budapest,true
Queen Quiz: Easy (Part 2),,In which city did Queen play a major 1986 concert behind the Iron Curtain?,,,,Belgrade,false
Queen Quiz: Easy (Part 2),,Which Queen album contains 'Killer Queen'?,Albums,easy,1,A Night at the Opera,false
Queen Quiz: Easy (Part 2),,Which Queen album contains 'Killer Queen'?,,,,Queen II,false
Queen Quiz: Easy (Part 2),,Which Queen album contains 'Killer Queen'?,,,,A Day at the Races,false
Queen Quiz: Easy (Part 2),,Which Queen album contains 'Killer Queen'?,,,,Sheer Heart Attack,true
Queen Quiz: Easy (Part 2),,Which Queen song shares its title with the band's 1991 studio album?,Songs,easy,1,The Invisible Man,false
Queen Quiz: Easy (Part 2),,Which Queen song shares its title with the band's 1991 studio album?,,,,Innuendo,true
Queen Quiz: Easy (Part 2),,Which Queen song shares its title with the band's 1991 studio album?,,,,Who Wants to Live Forever,false
Queen Quiz: Easy (Part 2),,Which Queen song shares its title with the band's 1991 studio album?,,,,The Miracle,false
Queen Quiz: Easy (Part 2),,"Which Queen album was released in 1995, after Freddie Mercury's death?",Albums,easy,1,Made in Heaven,true
Queen Quiz: Easy (Part 2),,"Which Queen album was released in 1995, after Freddie Mercury's death?",,,,Queen,false
Queen Quiz: Easy (Part 2),,"Which Queen album was released in 1995, after Freddie Mercury's death?",,,,Innuendo,false
Queen Quiz: Easy (Part 2),,"Which Queen album was released in 1995, after Freddie Mercury's death?",,,,Queen II,false
Queen Quiz: Easy (Part 2),,Which Queen album was released in 1986?,Albums,easy,1,The Miracle,false
Queen Quiz: Easy (Part 2),,Which Queen album was released in 1986?,,,,A Kind of Magic,true
Queen Quiz: Easy (Part 2),,Which Queen album was released in 1986?,,,,The Works,false
Queen Quiz: Easy (Part 2),,Which Queen album was released in 1986?,,,,Innuendo,false
Queen Quiz: Easy (Part 2),,Which Queen album was released in 1980 and included 'Another One Bites the Dust'?,Albums,easy,1,Flash Gordon,false
Queen Quiz: Easy (Part 2),,Which Queen album was released in 1980 and included 'Another One Bites the Dust'?,,,,Jazz,false
Queen Quiz: Easy (Part 2),,Which Queen album was released in 1980 and included 'Another One Bites the Dust'?,,,,Hot Space,false
Queen Quiz: Easy (Part 2),,Which Queen album was released in 1980 and included 'Another One Bites the Dust'?,,,,The Game,true
Queen Quiz: Easy (Part 2),,Which Queen member was nicknamed 'Deaks'?,Members,easy,1,John Deacon,true
Queen Quiz: Easy (Part 2),,Which Queen member was nicknamed 'Deaks'?,,,,Tim Staffell,false
Queen Quiz: Easy (Part 2),,Which Queen member was nicknamed 'Deaks'?,,,,Roger Taylor,false
Queen Quiz: Easy (Part 2),,Which Queen member was nicknamed 'Deaks'?,,,,David Bowie,false
Queen Quiz: Easy (Part 2),,Which science-fiction film did Queen score in 1980?,Film,easy,1,Flash Gordon,true
Queen Quiz: Easy (Part 2),,Which science-fiction film did Queen score in 1980?,,,,Highlander,false
Queen Quiz: Easy (Part 2),,Which science-fiction film did Queen score in 1980?,,,,Metropolis,false
Queen Quiz: Easy (Part 2),,Which science-fiction film did Queen score in 1980?,,,,The Last Starfighter,false
Queen Quiz: Easy (Part 2),,Who played bass in Queen's classic line-up?,Line-up,easy,1,Tim Staffell,false
Queen Quiz: Easy (Part 2),,Who played bass in Queen's classic line-up?,,,,Roger Taylor,false
Queen Quiz: Easy (Part 2),,Who played bass in Queen's classic line-up?,,,,David Bowie,false
Queen Quiz: Easy (Part 2),,Who played bass in Queen's classic line-up?,,,,John Deacon,true
Queen Quiz: Easy (Part 2),,In which decade did Queen release their debut album?,Band history,easy,1,1960s,false
Queen Quiz: Easy (Part 2),,In which decade did Queen release their debut album?,,,,1980s,false
Queen Quiz: Easy (Part 2),,In which decade did Queen release their debut album?,,,,1990s,false
Queen Quiz: Easy (Part 2),,In which decade did Queen release their debut album?,,,,1970s,true
Queen Quiz: Easy (Part 2),,Which 1986 English venue hosted Freddie Mercury's final Queen concert?,Concerts,easy,1,Wembley Stadium,false
Queen Quiz: Easy (Part 2),,Which 1986 English venue hosted Freddie Mercury's final Queen concert?,,,,Knebworth,true
Queen Quiz: Easy (Part 2),,Which 1986 English venue hosted Freddie Mercury's final Queen concert?,,,,Milton Keynes Bowl,false
Queen Quiz: Easy (Part 2),,Which 1986 English venue hosted Freddie Mercury's final Queen concert?,,,,Hyde Park,false
Queen Quiz: Easy (Part 2),,Who played drums in Queen's classic line-up?,Line-up,easy,1,John Deacon,false
Queen Quiz: Easy (Part 2),,Who played drums in Queen's classic line-up?,,,,Brian May,false
Queen Quiz: Easy (Part 2),,Who played drums in Queen's classic line-up?,,,,Roger Taylor,true
Queen Quiz: Easy (Part 2),,Who played drums in Queen's classic line-up?,,,,Tim Staffell,false
Queen Quiz: Easy (Part 2),,Who was Smile's singer and bassist before Freddie Mercury joined May and Taylor?,Origins,easy,1,David Bowie,false
Queen Quiz: Easy (Part 2),,Who was Smile's singer and bassist before Freddie Mercury joined May and Taylor?,,,,Tim Staffell,true
Queen Quiz: Easy (Part 2),,Who was Smile's singer and bassist before Freddie Mercury joined May and Taylor?,,,,John Deacon,false
Queen Quiz: Easy (Part 2),,Who was Smile's singer and bassist before Freddie Mercury joined May and Taylor?,,,,Spike Edney,false
Queen Quiz: Easy (Part 2),,Which Queen album contains 'Bohemian Rhapsody'?,Albums,easy,1,A Day at the Races,false
Queen Quiz: Easy (Part 2),,Which Queen album contains 'Bohemian Rhapsody'?,,,,Sheer Heart Attack,false
Queen Quiz: Easy (Part 2),,Which Queen album contains 'Bohemian Rhapsody'?,,,,A Night at the Opera,true
Queen Quiz: Easy (Part 2),,Which Queen album contains 'Bohemian Rhapsody'?,,,,News of the World,false
Queen Quiz: Easy (Part 2),,At which London park did Queen give a free concert in 1976?,Concerts,easy,1,Regent's Park,false
Queen Quiz: Easy (Part 2),,At which London park did Queen give a free concert in 1976?,,,,Battersea Park,false
Queen Quiz: Easy (Part 2),,At which London park did Queen give a free concert in 1976?,,,,Victoria Park,false
Queen Quiz: Easy (Part 2),,At which London park did Queen give a free concert in 1976?,,,,Hyde Park,true
Queen Quiz: Easy (Part 2),,Which Queen member built the guitar known as the Red Special?,Members,easy,1,Roger Taylor,false
Queen Quiz: Easy (Part 2),,Which Queen member built the guitar known as the Red Special?,,,,Freddie Mercury,false
Queen Quiz: Easy (Part 2),,Which Queen member built the guitar known as the Red Special?,,,,John Deacon,false
Queen Quiz: Easy (Part 2),,Which Queen member built the guitar known as the Red Special?,,,,Brian May,true
Queen Quiz: Easy (Part 2),,Which Queen album contains 'We Will Rock You'?,Albums,easy,1,News of the World,true
Queen Quiz: Easy (Part 2),,Which Queen album contains 'We Will Rock You'?,,,,Jazz,false
Queen Quiz: Easy (Part 2),,Which Queen album contains 'We Will Rock You'?,,,,A Day at the Races,false
Queen Quiz: Easy (Part 2),,Which Queen album contains 'We Will Rock You'?,,,,The Game,false
Queen Quiz: Easy (Part 2),,At which 1985 benefit concert did Queen give a celebrated set?,Concerts,easy,1,Concert for Bangladesh,false
Queen Quiz: Easy (Part 2),,At which 1985 benefit concert did Queen give a celebrated set?,,,,Farm Aid,false
Queen Quiz: Easy (Part 2),,At which 1985 benefit concert did Queen give a celebrated set?,,,,Live 8,false
Queen Quiz: Easy (Part 2),,At which 1985 benefit concert did Queen give a celebrated set?,,,,Live Aid,true
Queen Quiz: Medium (Part 1),Medium Queen questions drawn from supplied books and official sources.,Which Queen album contains 'Who Wants to Live Forever'?,Albums,medium,2,The Miracle,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'Who Wants to Live Forever'?,,,,A Kind of Magic,true
Queen Quiz: Medium (Part 1),,Which Queen album contains 'Who Wants to Live Forever'?,,,,The Works,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'Who Wants to Live Forever'?,,,,Innuendo,false
Queen Quiz: Medium (Part 1),,In what year was Queen's final show with Freddie Mercury at Knebworth?,Concerts,medium,2,1986,true
Queen Quiz: Medium (Part 1),,In what year was Queen's final show with Freddie Mercury at Knebworth?,,,,1987,false
Queen Quiz: Medium (Part 1),,In what year was Queen's final show with Freddie Mercury at Knebworth?,,,,1985,false
Queen Quiz: Medium (Part 1),,In what year was Queen's final show with Freddie Mercury at Knebworth?,,,,1988,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'The March of the Black Queen'?,Albums,medium,2,Sheer Heart Attack,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'The March of the Black Queen'?,,,,Queen,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'The March of the Black Queen'?,,,,A Night at the Opera,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'The March of the Black Queen'?,,,,Queen II,true
Queen Quiz: Medium (Part 1),,Which Queen album contains 'Bicycle Race'?,Albums,medium,2,Jazz,true
Queen Quiz: Medium (Part 1),,Which Queen album contains 'Bicycle Race'?,,,,The Game,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'Bicycle Race'?,,,,News of the World,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'Bicycle Race'?,,,,Flash Gordon,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'Spread Your Wings'?,Albums,medium,2,Jazz,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'Spread Your Wings'?,,,,A Day at the Races,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'Spread Your Wings'?,,,,News of the World,true
Queen Quiz: Medium (Part 1),,Which Queen album contains 'Spread Your Wings'?,,,,The Game,false
Queen Quiz: Medium (Part 1),,In what year was Sheer Heart Attack released?,Chronology,medium,2,1975,false
Queen Quiz: Medium (Part 1),,In what year was Sheer Heart Attack released?,,,,1974,true
Queen Quiz: Medium (Part 1),,In what year was Sheer Heart Attack released?,,,,1973,false
Queen Quiz: Medium (Part 1),,In what year was Sheer Heart Attack released?,,,,1976,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'Friends Will Be Friends'?,Albums,medium,2,The Miracle,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'Friends Will Be Friends'?,,,,The Works,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'Friends Will Be Friends'?,,,,A Kind of Magic,true
Queen Quiz: Medium (Part 1),,Which Queen album contains 'Friends Will Be Friends'?,,,,Innuendo,false
Queen Quiz: Medium (Part 1),,In what year was Jazz released?,Chronology,medium,2,1979,false
Queen Quiz: Medium (Part 1),,In what year was Jazz released?,,,,1978,true
Queen Quiz: Medium (Part 1),,In what year was Jazz released?,,,,1977,false
Queen Quiz: Medium (Part 1),,In what year was Jazz released?,,,,1980,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'It's a Hard Life'?,Albums,medium,2,A Kind of Magic,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'It's a Hard Life'?,,,,Hot Space,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'It's a Hard Life'?,,,,The Miracle,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'It's a Hard Life'?,,,,The Works,true
Queen Quiz: Medium (Part 1),,In what year was Queen II released?,Chronology,medium,2,1974,true
Queen Quiz: Medium (Part 1),,In what year was Queen II released?,,,,1975,false
Queen Quiz: Medium (Part 1),,In what year was Queen II released?,,,,1973,false
Queen Quiz: Medium (Part 1),,In what year was Queen II released?,,,,1976,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'Play the Game'?,Albums,medium,2,Flash Gordon,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'Play the Game'?,,,,Jazz,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'Play the Game'?,,,,The Game,true
Queen Quiz: Medium (Part 1),,Which Queen album contains 'Play the Game'?,,,,Hot Space,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'Hammer to Fall'?,Albums,medium,2,The Works,true
Queen Quiz: Medium (Part 1),,Which Queen album contains 'Hammer to Fall'?,,,,A Kind of Magic,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'Hammer to Fall'?,,,,Hot Space,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'Hammer to Fall'?,,,,The Miracle,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'You're My Best Friend'?,Albums,medium,2,A Night at the Opera,true
Queen Quiz: Medium (Part 1),,Which Queen album contains 'You're My Best Friend'?,,,,A Day at the Races,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'You're My Best Friend'?,,,,Sheer Heart Attack,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'You're My Best Friend'?,,,,News of the World,false
Queen Quiz: Medium (Part 1),,In what year was A Day at the Races released?,Chronology,medium,2,1977,false
Queen Quiz: Medium (Part 1),,In what year was A Day at the Races released?,,,,1975,false
Queen Quiz: Medium (Part 1),,In what year was A Day at the Races released?,,,,1978,false
Queen Quiz: Medium (Part 1),,In what year was A Day at the Races released?,,,,1976,true
Queen Quiz: Medium (Part 1),,In what year did Queen play their famous Budapest show?,Concerts,medium,2,1987,false
Queen Quiz: Medium (Part 1),,In what year did Queen play their famous Budapest show?,,,,1985,false
Queen Quiz: Medium (Part 1),,In what year did Queen play their famous Budapest show?,,,,1988,false
Queen Quiz: Medium (Part 1),,In what year did Queen play their famous Budapest show?,,,,1986,true
Queen Quiz: Medium (Part 1),,Which Queen album contains 'I Want to Break Free'?,Albums,medium,2,A Kind of Magic,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'I Want to Break Free'?,,,,Hot Space,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'I Want to Break Free'?,,,,The Works,true
Queen Quiz: Medium (Part 1),,Which Queen album contains 'I Want to Break Free'?,,,,The Miracle,false
Queen Quiz: Medium (Part 1),,Which Queen album contains 'One Vision'?,Albums,medium,2,The Miracle,false
